year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock,shock_stockpile_release
2024,108.695652,20.0,1.0,99.99999984,99.99999984,100.0,1.5999999902760464e-07,1.5999999902760465e-09,0.19999999840000002,0.0,0.0,0.0,0.0
2025,108.695652,19.99999984,1.000000002048,99.99999986226086,99.99999986226086,99.9999999488,8.653913141642988e-08,8.653913146073793e-10,0.1999999976370087,0.0,0.0,0.0,0.0
2026,108.69565202968116,19.99999975346087,1.000000003874549,99.99999990942132,99.99999990942132,109.99999989344992,9.999999984028605,0.09090909085195432,0.0909090889010785,0.0,0.1,0.0,0.0
2027,108.69565207594032,9.999999769432264,1.1332514766764512,101.35968375520035,101.35968375520035,96.92112055373232,0.0,-0.04579562407150795,0.14897230746414725,0.0,0.0,0.0,0.0
2028,110.55468563918843,14.438562970900293,1.1195733856155496,102.95900061264058,102.95900061264058,97.21580092651743,0.0,-0.05907681293974283,0.20759755579525846,0.0,0.0,0.0,0.0
2029,111.60947160820699,20.18176265702344,1.0640042974947057,103.37313267866426,103.37313267866426,98.4609800934917,0.0,-0.04988933261184608,0.2548615219792507,0.0,0.0,0.0,0.0
2030,111.60947160820699,25.093915242196005,0.9958032642821798,102.63377577150187,102.63377577150187,100.1051944588351,0.0,-0.025259241803946224,0.27593469753681565,0.0,0.0,0.0,0.0
