year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock
2024,100.0,20.0,1.0,92.0,92.0,100.0,8.0,0.08,0.12,0.0,0.0,0.0
2025,98.0,12.0,1.1078265137191157,91.16352,91.16352,100.39666486498477,9.233144864984766,0.09196664926471078,0.027559233553586172,0.0,0.0,0.0
2026,98.10034774315761,2.766855135015234,1.2953033143556725,92.79061626585374,92.79061626585374,99.44468586661515,6.654069600761403,0.06691226929598316,0.0,0.0,0.0,0.0
2027,100.40634238333188,0.0,1.5042203178670195,96.47317195167032,96.47317195167032,98.6697008485975,2.196528896927177,0.02226143261848552,0.0,0.0,0.0,0.0
2028,104.1761509954982,0.0,1.6855363956399299,101.28092750274025,101.28092750274025,98.77894085020527,0.0,-0.025329150434293016,0.025329150434293016,0.0,0.0,0.0
2029,108.44190638498178,2.501986652534981,1.7961806263398066,106.11759006744865,106.11759006744865,100.13793275356755,0.0,-0.05971420768787598,0.08469961115822917,0.0,0.0,0.0
2030,112.2584134861413,8.481643966416073,1.8098344133856645,109.9373064048,109.9373064048,102.94698636504924,0.0,-0.06790213377362145,0.15029059666985647,0.0,0.0,0.0
