year,K,I,P,Q,Q_eff,D,shortage,tight,cover,shock_export_restriction,shock_demand_surge,shock_capex_shock
2024,108.695652,20.0,1.0,99.99999984,99.99999984,95.0,0.0,-0.052631577263157904,0.315789472,0.0,0.0,0.0
2025,108.695652,29.99999984,0.9069352611008448,98.93821496810618,98.93821496810618,97.34856038667233,0.0,-0.016329512990430235,0.3758623062950114,0.0,0.0,0.0
2026,108.695652,36.58965442143385,0.8227015952355847,97.87867673704112,97.87867673704112,109.7250293269384,11.846352589897279,0.10796399565863594,0.2710712588912869,0.0,0.1,0.0
2027,108.695652,29.74330183153657,0.8668366454333162,98.4466875215572,98.4466875215572,98.45534301631643,0.00865549475923899,8.79129003471611e-05,0.35279595065776126,0.0,0.0,0.0
2028,108.695652,34.73464633677733,0.8055931347519331,97.65025571853315,97.65025571853315,100.27546074709855,2.6252050285654036,0.02617993484154959,0.3700750017175631,0.0,0.0,0.0
2029,108.695652,37.10944130821193,0.758154178375683,96.99055949185833,96.99055949185833,101.80854296673535,4.8179834748770105,0.047323960587975666,0.3662900651227219,0.0,0.0,0.0
2030,108.695652,37.29145783333492,0.7270001644387444,96.53447185358236,96.53447185358236,102.88213734662637,6.347665493044005,0.06169842167700799,0.3493686393702196,0.0,0.0,0.0
